field_1,row,col,type,id,bool1,X1,Y1,X2,Y2,bool2,XG,YG,Lng,Ang,typeH,proche route,proche canal,perp route,perp canal
"21","0","3",H,"11570",1,308475.657088,2402547.248392,308492.624224,2402547.248392,1,308484.140656,2402547.248392,16.967136,1.570796,HV,"1","0","0",
"22","0","3",H,"11571",0,308492.624224,2402547.248392,308505.219072,2402541.748488,0,308498.921648,2402544.49844,13.743331,1.982517,HO,"1","0","0",
"23","0","3",H,"11583",1,308596.654976,2402558.495592,308595.156288,2402572.754472,1,308595.905632,2402565.625032,14.337424,3.036872,HP,"1","0","0",
"24","0","3",H,"11584",0,308595.156288,2402572.754472,308648.532992,2402540.2498,1,308621.84464,2402556.502136,62.49501,2.117783,HO,"1","0","0",
"30","0","3",H,"11646",1,308595.156288,2402572.754472,308600.779872,2402589.501576,1,308597.96808,2402581.128024,17.666075,0.323964,HP,"1","0","0",
"31","0","3",H,"11647",1,308600.779872,2402589.501576,308600.779872,2402614.745928,1,308600.779872,2402602.123752,25.244352,0,HP,"1","0","0",
"32","0","3",H,"11656",1,308588.157696,2402549.998344,308586.686432,2402571.255784,1,308587.422064,2402560.627064,21.308294,3.072491,HP,"1","0","0",
"33","0","3",H,"11657",1,308586.686432,2402571.255784,308589.532704,2402588.25028,1,308588.109568,2402579.753032,17.231197,0.165942,HP,"1","0","0",
"34","0","3",H,"11658",1,308589.532704,2402588.25028,308593.781312,2402596.500136,1,308591.657008,2402592.375208,9.27959,0.475569,HO,"1","0","0",
"35","0","3",H,"11659",1,308593.781312,2402596.500136,308592.282624,2402616.244616,1,308593.031968,2402606.372376,19.801277,3.065834,HP,"1","0","0",
"36","0","3",H,"11660",1,308592.282624,2402616.244616,308605.001184,2402656.999112,1,308598.641904,2402636.621864,42.692982,0.3025,HP,"1","0","0",
"37","0","3",H,"11661",1,308605.001184,2402656.999112,308605.00176,2402666.74644,1,308605.001472,2402661.872776,9.747328,5.9e-05,HP,"1","0","0",
"39","0","3",H,"11680",1,308576.717792,2402713.49684,308593.904416,2402696.503464,1,308585.311104,2402705.000152,24.169296,2.350541,HO,"1","0","0",
"40","0","3",H,"11747",1,308440.595168,2402788.99684,308470.0608,2402805.743912,1,308455.327984,2402797.370376,33.892298,1.053967,HO,"1","0","0",
"370","1","1",H,"10878",1,306694.470495,2401609.747719,306731.374783,2401618.754055,1,306712.922639,2401614.250887,37.987374,1.331429,HV,"0","0","0",
"371","1","1",H,"10916",1,306807.562239,2401674.756999,306810.876031,2401644.493223,1,306809.219135,2401659.625111,30.444661,3.03253,HP,"0","0","0",
"373","1","1",H,"10963",1,306898.281279,2401710.565479,306900.474879,2401724.871911,1,306899.378079,2401717.718695,14.473627,0.152145,HP,"1","1","1",
"374","1","1",H,"10964",1,306900.474879,2401724.871911,306893.944479,2401741.827879,1,306897.209679,2401733.349895,18.170057,2.773963,HO,"1","1","0",
"375","1","1",H,"10965",1,306900.357311,2401710.526183,306902.422527,2401725.101063,1,306901.389919,2401717.813623,14.72047,0.14076,HP,"1","1","1",
"376","1","1",H,"10966",1,306902.422527,2401725.101063,306896.011135,2401741.867303,1,306899.216831,2401733.484183,17.950286,2.776351,HO,"1","1","0",
"377","1","1",H,"10969",1,306893.944479,2401741.827879,306894.873183,2401742.007463,1,306894.408831,2401741.917671,0.945908,1.379783,HV,"1","1","0",1
"378","1","1",H,"10970",1,306894.873183,2401742.007463,306896.011135,2401741.867303,1,306895.442159,2401741.937383,1.146551,1.693348,HV,"1","1","0",
"379","1","1",H,"10971",1,306861.283135,2401742.995719,306893.944479,2401741.827879,1,306877.613807,2401742.411799,32.682216,1.606537,HV,"1","1","0",
"386","1","1",H,"11102",1,306841.592927,2401885.994248,306843.311647,2401914.250248,1,306842.452287,2401900.122248,28.308224,0.060752,HP,"1","0","0",
"395","1","1",H,"11129",1,306917.092927,2402030.752136,306901.500735,2402024.000968,1,306909.296831,2402027.376552,16.991019,1.162183,HO,"0","0","0",
"396","1","1",H,"11130",1,306901.500735,2402024.000968,306895.904479,2402009.494696,1,306898.702607,2402016.747832,15.548312,0.36819,HO,"0","0","0",
"397","1","1",H,"11131",1,306895.904479,2402009.494696,306885.812223,2401996.006632,1,306890.858351,2402002.750664,16.845816,0.642371,HO,"0","0","0",
"398","1","1",H,"11132",1,306885.812223,2401996.006632,306870.123679,2401991.496296,1,306877.967951,2401993.751464,16.324017,1.290854,HV,"0","0","0",
"399","1","1",H,"11141",1,306930.595999,2402017.24964,306925.908831,2402026.6426,1,306928.252415,2402021.94612,10.497487,2.678738,HO,"0","0","0",
"400","1","1",H,"11142",1,306925.908831,2402026.6426,306930.254271,2402035.679016,1,306928.081551,2402031.160808,10.026947,0.448236,HO,"0","0","0",
"401","1","1",H,"11143",1,306930.254271,2402035.679016,306933.936383,2402032.993,1,306932.095327,2402034.336008,4.5577,2.201033,HO,"0","0","0",
"402","1","1",H,"11144",1,306933.936383,2402032.993,306941.842495,2402037.503336,1,306937.889439,2402035.248168,9.102183,1.05236,HO,"0","0","0",
"403","1","1",H,"11145",0,306941.842495,2402037.503336,306944.001311,2402046.495336,1,306942.921903,2402041.999336,9.247516,0.235622,HP,"0","0","0",
"412","1","2",H,"11179",1,306973.123167,2402111.242952,306992.249183,2402138.247688,1,306982.686175,2402124.74532,33.091695,0.616239,HO,"0","0","0",
"413","1","2",H,"11332",1,307197.904479,2402187.499432,307258.279743,2402227.744808,1,307228.092111,2402207.62212,72.559374,0.982849,HO,"0","0","0",
"417","1","2",H,"11518",1,307349.124479,2402486.502024,307368.250463,2402443.754088,1,307358.687471,2402465.128056,46.831499,2.720892,HO,"1","0","0",
"420","1","2",H,"12557",1,307314.530047,2402530.996072,307349.124479,2402486.502024,1,307331.827263,2402508.749048,56.360403,2.480718,HO,"1","0","0",
"423","1","2",H,"12567",1,306963.163583,2401645.453799,306975.529439,2401619.743623,1,306969.346511,2401632.598711,28.529415,2.693284,HO,"0","0","0",
"465","1","3",H,"11246",1,308179.500736,2402240.243304,308239.99968,2402254.25476,1,308209.750208,2402247.249032,62.100267,1.34321,HV,"1","0","0",
"466","1","3",H,"11288",1,308239.99968,2402254.25476,308270.125472,2402292.75412,1,308255.062576,2402273.50444,48.885213,0.663979,HO,"1","0","0",
"467","1","3",H,"11303",1,308286.15776,2402300.000104,308357.780192,2402301.49876,1,308321.968976,2402300.749432,71.63811,1.549875,HV,"1","0","0",
"468","1","3",H,"11379",1,308279.595616,2402300.468072,308330.849536,2402372.750888,1,308305.222576,2402336.60948,88.610213,0.61679,HO,"1","0","0",
"469","1","3",H,"11380",1,308330.849536,2402372.750888,308335.52416,2402370.246344,1,308333.186848,2402371.498616,5.303287,2.062652,HO,"1","0","0",
"470","1","3",H,"11381",1,308339.56176,2402375.994856,308335.52416,2402370.246344,1,308337.54296,2402373.1206,7.024785,0.612317,HO,"1","0","0",
"471","1","3",H,"11431",1,308554.498144,2402405.502152,308565.718016,2402402.504808,1,308560.10808,2402404.00348,11.613337,1.831846,HV,"1","0","0",
"472","1","3",H,"11432",1,308565.718016,2402402.504808,308578.312832,2402408.252104,1,308572.015424,2402405.378456,13.844161,1.142697,HO,"1","0","0",
"473","1","3",H,"11433",1,308578.312832,2402408.252104,308588.157696,2402416.749352,1,308583.235264,2402412.500728,13.00479,0.858738,HO,"1","0","0",
"474","1","3",H,"11434",1,308588.157696,2402416.749352,308609.249792,2402377.246152,1,308598.703744,2402396.997752,44.781462,2.651168,HO,"1","0","0",
"475","1","3",H,"11435",1,308609.249792,2402377.246152,308628.8432,2402363.248968,1,308619.046496,2402370.24756,24.07951,2.19111,HO,"1","0","0",
"476","1","3",H,"11476",1,308076.968672,2402412.25332,308041.219296,2402437.497704,1,308059.093984,2402424.875512,43.764104,2.185637,HO,"1","0","0",
"477","1","3",H,"11488",1,308447.59376,2402470.249736,308443.468832,2402443.506696,1,308445.531296,2402456.878216,27.059291,0.153037,HP,"0","0","0",
"478","1","3",H,"11491",1,308536.772736,2402464.538696,308580.089952,2402474.014824,1,308558.431344,2402469.27676,44.341608,1.355428,HV,"1","0","0",
"479","1","3",H,"11494",1,308590.907648,2402449.006632,308592.406304,2402436.246408,1,308591.656976,2402442.62652,12.847929,3.024681,HP,"1","0","0",
"480","1","3",H,"11495",1,308592.406304,2402436.246408,308586.78272,2402426.497896,1,308589.594512,2402431.372152,11.254252,0.523235,HO,"1","0","0",
"481","1","3",H,"11496",1,308586.78272,2402426.497896,308578.312832,2402416.749352,1,308582.547776,2402421.623624,12.914066,0.715328,HO,"1","0","0",
"482","1","3",H,"11497",1,308578.312832,2402416.749352,308565.718016,2402411.002088,1,308572.015424,2402413.87572,13.844148,1.142699,HO,"1","0","0",
"483","1","3",H,"11498",1,308565.718016,2402411.002088,308554.498144,2402415.250664,1,308560.10808,2402413.126376,11.99733,1.932777,HO,"1","0","0",
"484","1","3",H,"11502",1,308588.157696,2402416.749352,308598.029952,2402429.247816,1,308593.093824,2402422.998584,15.927117,0.668538,HO,"1","0","0",
"485","1","3",H,"11503",1,308598.029952,2402429.247816,308600.876224,2402440.495048,1,308599.453088,2402434.871432,11.601788,0.247861,HP,"1","0","0",
"486","1","3",H,"11509",1,308633.091808,2402434.995144,308634.563168,2402405.25476,1,308633.827488,2402420.124952,29.776758,3.092159,HP,"1","0","0",
"488","1","3",H,"11549",1,308648.532992,2402540.2498,308647.158016,2402519.254088,1,308647.845504,2402529.751944,21.040686,0.065395,HP,"1","0","0",
"489","1","3",H,"11558",1,308228.513632,2402463.226056,308218.687584,2402456.252584,1,308223.600608,2402459.73932,12.049088,0.953595,HO,"1","0","0",
"490","1","3",H,"11559",1,308218.687584,2402456.252584,308218.687584,2402447.755304,1,308218.687584,2402452.003944,8.49728,0,HP,"1","0","0",
"491","1","3",H,"11560",1,308218.687584,2402447.755304,308231.40608,2402436.4938,1,308225.046832,2402442.124552,16.98769,2.29551,HO,"1","0","0",
"492","1","3",H,"11561",1,308231.40608,2402436.4938,308250.999488,2402430.746504,1,308241.202784,2402433.620152,20.418938,1.856121,HV,"1","0","0",
"493","1","3",H,"11579",1,308585.981792,2402478.608584,308582.43776,2402491.24548,1,308584.209776,2402484.927032,13.124454,2.868166,HP,"1","0","0",
"494","1","3",H,"11580",1,308582.43776,2402491.24548,308583.936448,2402513.754184,1,308583.187104,2402502.499832,22.558542,0.066484,HP,"1","0","0",
"495","1","3",H,"11653",1,308579.236544,2402477.123144,308575.4392,2402490.998088,1,308577.337872,2402484.060616,14.385197,2.874451,HP,"1","0","0",
"496","1","3",H,"11733",1,308228.513632,2402463.226056,308243.904576,2402468.751048,1,308236.209104,2402465.988552,16.352575,1.226147,HV,"1","0","0",
"497","1","3",H,"11734",1,308243.904576,2402468.751048,308253.74944,2402477.248296,1,308248.827008,2402472.999672,13.00479,0.858738,HO,"1","0","0",
"502","1","3",H,"12253",1,308192.926176,2402278.9178,308233.936,2402300.756584,1,308213.431088,2402289.837192,46.462223,1.081468,HO,"1","0","0",
"503","1","3",H,"12258",1,308404.978432,2402352.620136,308377.470016,2402282.001704,1,308391.224224,2402317.31092,75.787043,0.371453,HO,"1","0","0",
"777","2","2",H,"10712",1,307070.719167,2401366.748039,307127.780703,2401356.752103,1,307099.249935,2401361.750071,57.930455,1.744215,HV,"1","0","0",
"784","2","2",H,"12568",1,307001.282847,2401479.743463,307030.281055,2401454.004327,1,307015.781951,2401466.873895,38.773692,2.296725,HO,"0","0","0",
"2492","6","6",H,"7231",0,311590.970307,2396634.997955,311590.873955,2396591.246115,1,311590.922131,2396613.122035,43.751946,0.002202,HP,"0","0","0",
"2496","6","6",H,"7246",1,311468.306019,2396654.474275,311545.726915,2396653.543523,1,311507.016467,2396654.008899,77.426491,1.582818,HV,"1","0","0",
"2497","6","6",H,"7247",1,311545.726915,2396653.543523,311546.185155,2396650.106467,1,311545.956035,2396651.824995,3.467469,3.009051,HP,"1","0","0",
"2498","6","6",H,"7248",1,311546.185155,2396650.106467,311470.173571,2396650.994563,1,311508.179363,2396650.550515,76.016772,1.582479,HV,"1","0","0",
"2499","6","6",H,"7274",1,311411.343203,2396678.749795,311456.593731,2396674.253763,1,311433.968467,2396676.501779,45.473339,1.66983,HV,"1","0","0",
"2500","6","6",H,"7275",1,311456.593731,2396674.253763,311462.437347,2396665.494819,1,311459.515539,2396669.874291,10.529337,2.553249,HO,"1","0","0",
"2504","6","6",H,"7370",1,311519.375171,2396738.753987,311517.876483,2396665.494819,1,311518.625827,2396702.124403,73.274496,0.020454,HP,"0","0","0",
"2505","6","6",H,"7404",1,311725.126819,2396762.004867,311799.596131,2396772.247651,1,311762.361475,2396767.126259,75.170427,1.43411,HV,"1","0","0",
"2508","6","6",H,"7433",1,311519.375171,2396738.753987,311522.248835,2396794.000419,1,311520.812003,2396766.377203,55.321119,0.051969,HP,"0","0","0",
"2514","6","6",H,"7499",1,311729.595491,2396795.499075,311739.263971,2396850.135491,1,311734.429731,2396822.817283,55.48529,0.175147,HP,"0","0","0",
"2622","6","6",H,"14797",1,311464.939522,2396699.894826,311411.343203,2396700.918424,1,311438.141363,2396700.406625,53.606093,1.589892,HV,"0","0","0",
"2629","6","7",H,"7392",1,312163.029412,2396662.744867,312192.22026,2396762.252259,1,312177.624836,2396712.498563,103.700659,0.285348,HP,"1","0","0",
"2630","6","7",H,"7393",1,312192.22026,2396762.252259,312228.657156,2396751.994595,1,312210.438708,2396757.123427,37.853231,1.845213,HV,"0","0","0",
"2631","6","7",H,"7394",1,312228.657156,2396751.994595,312216.96986,2396655.498883,1,312222.813508,2396703.746739,97.200902,0.12053,HP,"0","0","0",
"2636","6","7",H,"7446",1,312355.718756,2396736.004035,312379.620484,2396796.998787,1,312367.66962,2396766.501411,65.510704,0.373474,HO,"0","0","0",
"2639","6","7",H,"7496",1,312262.220388,2396641.006947,312279.751332,2396736.004035,1,312270.98586,2396688.505491,96.601142,0.182489,HP,"0","0","0",
"2640","6","7",H,"7497",1,312279.751332,2396736.004035,312276.905028,2396776.744195,1,312278.32818,2396756.374115,40.839467,3.071841,HP,"0","0","0",
"2641","6","7",H,"7498",1,312276.905028,2396776.744195,312284.220164,2396849.756643,1,312280.562596,2396813.250419,73.377986,0.099857,HP,"0","0","0",
"3241","7","6",H,"7081",1,311355.876387,2396493.251395,311387.968611,2396497.747747,1,311371.922499,2396495.499571,32.405679,1.431595,HV,"0","0","0",
"3249","7","6",H,"7134",1,311317.968515,2396542.750851,311319.343491,2396523.748579,1,311318.656003,2396533.249715,19.051953,3.06936,HP,"0","0","0",
"3250","7","6",H,"7135",1,311319.343491,2396523.748579,311325.310851,2396504.993731,1,311322.327171,2396514.371155,19.681304,2.833544,HP,"0","0","0",
"3251","7","6",H,"7136",1,311325.310851,2396504.993731,311323.812163,2396490.254371,1,311324.561507,2396497.624051,14.815357,0.101331,HP,"0","0","0",
"3252","7","6",H,"7137",1,311323.812163,2396490.254371,311312.124835,2396475.748099,1,311317.968499,2396483.001235,18.628622,0.678191,HO,"0","0","0",
"3254","7","6",H,"7194",1,311498.970595,2396586.750115,311590.873955,2396591.246115,1,311544.922275,2396588.998115,92.013269,1.521914,HV,"0","0","0",
"3288","7","7",H,"6390",1,312379.21706,2395656.75709,312358.59242,2395874.25069,1,312368.90474,2395765.50389,218.469316,3.047047,HP,"0","0","0",
"3289","7","7",H,"6391",1,312358.59242,2395874.25069,312379.09338,2395874.25069,1,312368.8429,2395874.25069,20.50096,1.570796,HV,"0","0","0",
"3290","7","7",H,"6392",1,312379.09338,2395874.25069,312402.22058,2395664.497826,1,312390.65698,2395769.374258,211.024007,3.031777,HP,"0","0","0",
"3291","7","7",H,"6393",1,312408.31162,2395874.498082,312426.750084,2395672.252514,1,312417.530852,2395773.375298,203.084334,3.050675,HP,"0","0","0",
"3292","7","7",H,"6397",1,312322.155524,2395880.245378,312358.59242,2395874.25069,1,312340.373972,2395877.248034,36.926734,1.733858,HV,"0","0","0",
"3304","7","7",H,"6472",1,312311.96714,2395944.498466,312311.967268,2395911.00317,1,312311.967204,2395927.750818,33.495296,3.141589,HP,"0","0","0",
"3305","7","7",H,"6473",1,312311.967268,2395911.00317,312322.155524,2395880.245378,1,312317.061396,2395895.624274,32.40127,2.821726,HP,"0","0","0",
"3308","7","7",H,"6591",1,312408.187876,2396037.99661,312457.90698,2396034.99933,1,312433.047428,2396036.49797,49.809366,1.631008,HV,"0","0","0",
"3312","7","7",H,"6658",1,312467.999364,2396081.748418,312470.969348,2396116.755618,1,312469.484356,2396099.252018,35.13296,0.084637,HP,"1","0","0",
"3313","7","7",H,"6659",1,312444.748484,2396117.00301,312470.969348,2396116.755618,1,312457.858916,2396116.879314,26.222031,1.580231,HV,"1","0","0",
"3314","7","7",H,"6671",1,312305.650564,2396122.710146,312380.592036,2396119.752994,1,312343.1213,2396121.23157,74.999793,1.610235,HV,"1","0","0",
"3315","7","7",H,"6682",1,312428.688836,2396129.99629,312466.624388,2396128.497602,1,312447.656612,2396129.246946,37.965144,1.610282,HV,"1","0","0",
"4991","10","0",H,"2574",1,305780.811966,2392693.749823,305773.249566,2392690.999871,1,305777.030766,2392692.374847,8.046871,1.222027,HV,"1","0","0",
"4992","10","0",H,"2575",1,305773.249566,2392690.999871,305750.782398,2392695.495903,1,305762.015982,2392693.247887,22.912615,1.768303,HV,"1","0","0",
"4993","10","0",H,"2576",1,305750.782398,2392695.495903,305735.658686,2392690.999775,1,305743.220542,2392693.247839,15.777891,1.281828,HV,"1","0","0",
"4995","10","0",H,"2657",1,305902.71859,2392736.135391,305902.717278,2392767.503743,1,305902.717934,2392751.819567,31.368352,3.141551,HP,"1","0","0",
"4996","10","0",H,"2658",1,305902.717278,2392767.503743,305917.842014,2392806.497855,1,305910.279646,2392787.000799,41.824615,0.370008,HO,"0","0","0",
"4998","10","0",H,"2672",1,305917.842014,2392806.497855,305947.844094,2392829.006559,1,305932.843054,2392817.752207,37.506887,0.927143,HO,"0","1","0",
"5004","10","0",H,"2711",1,305810.937662,2392815.506303,305837.752222,2392880.882079,1,305824.344942,2392848.194191,70.661253,0.389235,HO,"1","0","0",
"5005","10","0",H,"2712",1,305837.752222,2392880.882079,305839.464286,2392880.492031,1,305838.608254,2392880.687055,1.755933,1.794796,HV,"0","1","0",
"5009","10","0",H,"2792",1,305910.279646,2392998.994527,305932.843038,2392998.994527,1,305921.561342,2392998.994527,22.563392,1.570796,HV,"1","0","0",
"5018","10","0",H,"2846",1,305771.750814,2392980.996159,305818.499966,2393092.245503,1,305795.12539,2393036.620831,120.672697,0.397815,HO,"0","0","0",
"5067","10","0",H,"14236",1,305889.187582,2392821.498879,305859.15811,2392844.255007,1,305874.172846,2392832.876943,37.67772,2.219266,HO,"0","0","0",
"5068","10","0",H,"14237",1,305859.15811,2392844.255007,305856.064414,2392865.250751,1,305857.611262,2392854.752879,21.222446,2.995297,HP,"0","0","0",
